ensg,beta,standard_error,effect_allele_frequency
ENSG00000187634,0.010713,0.0127569,0.00747867
ENSG00000188976,0.00483982,0.0323188,0.000980458
ENSG00000187961,-0.00905902,0.0277607,0.00132994
ENSG00000187583,0.0415186,0.0436214,0.00053794
ENSG00000187642,-0.0565705,0.0415508,0.000592807
ENSG00000188290,0.0152431,0.0579841,0.000304157
ENSG00000187608,-0.114885,0.0903461,0.000125241
ENSG00000188157,0.00862,0.0567728,0.000317277
ENSG00000237330,-0.00522715,0.0703907,0.000206349
ENSG00000131591,0.0855581,0.0482242,0.000440132
ENSG00000162571,-0.0137309,0.0131852,0.00591853
ENSG00000186891,-0.0473737,0.0390222,0.000672723
ENSG00000186827,0.0641329,0.0692011,0.000213506
ENSG00000078808,-0.0591325,0.0959981,0.000108542
ENSG00000176022,0.0171679,0.0658004,0.000236169
ENSG00000184163,0.0246799,0.0355888,0.000809891
ENSG00000160087,0.57761,0.349854,8.3494e-06
ENSG00000162572,0.0106098,0.0291803,0.00120351
ENSG00000131584,0.111164,0.079975,0.000159831
ENSG00000169972,-0.00835309,0.0293413,0.00119039
ENSG00000127054,-0.00794622,0.0220922,0.00210286
ENSG00000224051,0.0588167,0.069394,0.000212313
ENSG00000169962,-0.010516,0.0437107,0.000535554
ENSG00000107404,-0.0755199,0.0649842,0.000242132
ENSG00000162576,0.0305964,0.0658164,0.000236169
ENSG00000175756,-0.0755581,0.0975855,0.000107349
ENSG00000221978,0.154788,0.110647,8.3494e-05
ENSG00000242485,0.014666,0.0716419,0.000199193
ENSG00000235098,0.0837556,0.0435652,0.000539132
ENSG00000205116,-0.0704071,0.0577612,0.000306542
ENSG00000179403,0.00426903,0.0263919,0.00146949
ENSG00000215915,0.0221091,0.0464792,0.000468759
ENSG00000160072,-0.00661233,0.0129739,0.00611414
ENSG00000197785,-0.0692492,0.0523428,0.000373337
ENSG00000205090,-0.000924549,0.109094,8.58795e-05
ENSG00000160075,-0.156848,0.107621,8.8265e-05
ENSG00000228594,-0.215118,0.133612,5.7253e-05
ENSG00000197530,0.0180452,0.026767,0.00143371
ENSG00000189409,0.0418964,0.105494,9.18434e-05
ENSG00000248333,-0.0253606,0.0930423,0.000118084
ENSG00000189339,0.00157541,0.0734242,0.000187265
ENSG00000008128,-0.0394198,0.0254702,0.00155895
ENSG00000215790,0.038379,0.0486726,0.000431783
ENSG00000008130,0.0354425,0.0547554,0.000341132
ENSG00000078369,0.0313507,0.181542,3.1012e-05
ENSG00000169885,-0.0456312,0.0848661,0.00014194
ENSG00000178821,-0.0113391,0.0796802,0.000161024
ENSG00000142609,-0.0363066,0.0183205,0.00305469
ENSG00000187730,-0.164587,0.100409,0.000101386
ENSG00000067606,-0.114267,0.0663034,0.00023259
ENSG00000162585,0.00550647,0.0903458,0.000125241
ENSG00000157933,-0.183043,0.171889,3.45904e-05
ENSG00000116151,-0.050998,0.0586799,0.000297
ENSG00000157916,-0.0401726,0.178141,3.22048e-05
ENSG00000157911,0.0316912,0.0489447,0.000427012
ENSG00000149527,-0.015136,0.0329425,0.000943482
ENSG00000157881,0.0589372,0.0699877,0.000208735
ENSG00000197921,0.230564,0.188951,2.86265e-05
ENSG00000157873,-0.0833883,0.0774367,0.000170566
ENSG00000157870,0.113534,0.0636228,0.000250482
ENSG00000142606,0.0236955,0.0321259,0.00099
ENSG00000215912,0.0284561,0.0545756,0.000343518
ENSG00000169717,0.229419,0.146363,4.77108e-05
ENSG00000142611,0.0382935,0.168999,3.57831e-05
ENSG00000130762,-0.0430967,0.0460197,0.000483072
ENSG00000162591,0.00391723,0.0239382,0.00178796
ENSG00000158109,-0.0492198,0.0200029,0.00255849
ENSG00000116213,-0.0343504,0.0661373,0.000233783
ENSG00000078900,0.100811,0.109863,8.46867e-05
ENSG00000162592,0.00314968,0.0182556,0.00308689
ENSG00000235169,0.212074,0.188947,2.86265e-05
ENSG00000130764,-0.0246986,0.100409,0.000101386
ENSG00000116198,0.00388018,0.02159,0.00220543
ENSG00000169598,-0.15606,0.094979,0.000113313
ENSG00000198912,-0.0572847,0.0848644,0.00014194
ENSG00000196581,-0.350094,0.267207,1.43133e-05
ENSG00000131697,0.0671888,0.0328019,0.000951831
ENSG00000069424,-0.0120301,0.0409797,0.000609506
ENSG00000116254,-0.0182867,0.0886697,0.000130012
ENSG00000116251,0.00473604,0.136492,5.48675e-05
ENSG00000158286,-0.0118504,0.0433264,0.000545096
ENSG00000116237,0.122085,0.231463,1.90843e-05
ENSG00000173673,-0.112117,0.130912,5.96385e-05
