ensg,beta,standard_error,effect_allele_frequency
ENSG00000187634,-0.0106167,0.0228326,0.00753003
ENSG00000188976,0.0560184,0.0584533,0.000948834
ENSG00000187961,-0.0767968,0.0491834,0.00134121
ENSG00000187583,0.0245605,0.0796887,0.000510088
ENSG00000187642,0.00020046,0.0716404,0.000631367
ENSG00000188290,-0.099044,0.0957464,0.000353138
ENSG00000187608,-0.306568,0.158737,0.000128414
ENSG00000188157,-0.121894,0.100409,0.000321034
ENSG00000237330,-0.149319,0.124008,0.000210456
ENSG00000131591,-0.0459667,0.0848992,0.000449448
ENSG00000162571,-0.00455295,0.0231591,0.00607825
ENSG00000186891,0.0103301,0.0740018,0.00059213
ENSG00000186827,-0.113272,0.120965,0.000221157
ENSG00000078808,-0.0373088,0.173896,0.000107011
ENSG00000176022,0.176485,0.10999,0.000267528
ENSG00000184163,-0.109234,0.0622299,0.000838256
ENSG00000162572,-0.0499916,0.0552448,0.00106298
ENSG00000131584,-0.0548843,0.156576,0.000131981
ENSG00000169972,-0.00544967,0.0526544,0.00116999
ENSG00000127054,0.0201596,0.0389614,0.00214023
ENSG00000224051,0.227146,0.130827,0.000189053
ENSG00000169962,-0.0794579,0.0744254,0.000584996
ENSG00000107404,-0.135423,0.127289,0.000199755
ENSG00000162576,0.0179506,0.124027,0.000210456
ENSG00000175756,-0.187656,0.171072,0.000110578
ENSG00000221978,0.0937565,0.218482,6.77739e-05
ENSG00000242485,-0.102752,0.148738,0.000146249
ENSG00000235098,0.0246705,0.0811075,0.000492252
ENSG00000205116,-0.0150523,0.107233,0.000281797
ENSG00000179403,0.00727774,0.0468204,0.00148032
ENSG00000215915,0.0075747,0.0884571,0.000406643
ENSG00000160072,0.00979428,0.0231674,0.00606041
ENSG00000197785,-0.103927,0.0952687,0.000356705
ENSG00000205090,-0.110395,0.190469,8.91762e-05
ENSG00000160075,-0.176478,0.230968,6.06398e-05
ENSG00000228594,-0.281522,0.274925,4.28046e-05
ENSG00000197530,-0.0380574,0.0483885,0.00138045
ENSG00000189409,-0.114979,0.176842,0.000103444
ENSG00000248333,0.104251,0.165825,0.000117713
ENSG00000189339,0.225415,0.141997,0.000160517
ENSG00000008128,0.0441121,0.0438639,0.00168008
ENSG00000215790,-0.179213,0.0855707,0.000442314
ENSG00000008130,-0.163977,0.0957433,0.000353138
ENSG00000078369,0.104756,0.388763,2.14023e-05
ENSG00000169885,0.103622,0.1545,0.000135548
ENSG00000178821,-0.0818024,0.145246,0.000153383
ENSG00000142609,-0.0383826,0.0329395,0.00299989
ENSG00000187730,0.0177156,0.176847,0.000103444
ENSG00000067606,-0.0205116,0.113049,0.00025326
ENSG00000162585,-0.00281901,0.152506,0.000139115
ENSG00000157933,0.0330295,0.301137,3.56705e-05
ENSG00000116151,-0.162159,0.110736,0.000263961
ENSG00000157916,0.377089,0.388766,2.14023e-05
ENSG00000157911,-0.0199042,0.0877005,0.000420911
ENSG00000149527,-0.101455,0.059572,0.000913164
ENSG00000157881,-0.198843,0.124003,0.000210456
ENSG00000197921,0.0464303,0.336693,2.85364e-05
ENSG00000157873,0.172298,0.150781,0.000142682
ENSG00000157870,0.0467062,0.111563,0.00025326
ENSG00000142606,-0.0223434,0.0570792,0.000995206
ENSG00000215912,0.110296,0.0982759,0.000335302
ENSG00000169717,0.052273,0.224462,6.42068e-05
ENSG00000142611,0.0868543,0.274905,4.28046e-05
ENSG00000130762,0.0522938,0.0842114,0.000456582
ENSG00000162591,0.0241521,0.0433658,0.00172645
ENSG00000158109,-0.0080352,0.035633,0.00254687
ENSG00000116213,0.063293,0.118169,0.000231858
ENSG00000078900,0.130337,0.203048,7.8475e-05
ENSG00000162592,-0.0148011,0.0330724,0.00297848
ENSG00000235169,-0.414886,0.425865,1.78352e-05
ENSG00000130764,0.26782,0.190482,8.91762e-05
ENSG00000116198,0.0094165,0.0374373,0.00232215
ENSG00000169598,0.358819,0.160987,0.000124847
ENSG00000198912,-0.140648,0.1545,0.000135548
ENSG00000131697,0.073398,0.0594734,0.000916731
ENSG00000069424,-0.00798975,0.0716364,0.000631367
ENSG00000116254,-0.10287,0.168362,0.000114145
ENSG00000116251,0.127117,0.231054,6.06398e-05
ENSG00000158286,-0.0369662,0.0755695,0.00056716
ENSG00000173673,-0.0375767,0.254513,4.99386e-05
ENSG00000158292,-0.0239381,0.100983,0.000317467
ENSG00000097021,0.0648956,0.073081,0.000706275
ENSG00000069812,0.376158,0.388759,2.14023e-05
ENSG00000187017,-0.0392478,0.043543,0.00171218
ENSG00000215788,-0.192185,0.207918,7.4908e-05
ENSG00000171680,-0.0487772,0.050708,0.00126987
ENSG00000162408,-0.0168351,0.08808,0.000417344
ENSG00000173662,0.0383827,0.0314163,0.00328525
ENSG00000204859,-0.0759919,0.173872,0.000107011
ENSG00000162413,0.000111046,0.0862561,0.00043518
ENSG00000041988,0.04697,0.126165,0.000203322
ENSG00000007923,-0.198187,0.120986,0.000221157
ENSG00000171735,0.00936854,0.0205197,0.00781183
ENSG00000049245,-0.161166,0.245884,5.35057e-05
ENSG00000049246,-0.0804225,0.0580088,0.000955968
ENSG00000049247,-0.120267,0.0948216,0.000360272
ENSG00000049249,0.0810273,0.179999,9.98773e-05
ENSG00000116288,-0.279839,0.218479,6.77739e-05
ENSG00000116285,0.277823,0.12097,0.000221157
ENSG00000162426,0.0763549,0.0638257,0.000795451
ENSG00000142599,0.0221407,0.0244206,0.00548612
ENSG00000074800,-0.0188212,0.23096,6.06398e-05
ENSG00000131686,-0.0906211,0.152521,0.000139115
ENSG00000197241,0.0823734,0.102727,0.000306766
ENSG00000142583,-0.0741265,0.0859175,0.000438747
ENSG00000180758,-0.00877481,0.132086,0.000185486
ENSG00000049239,-0.106309,0.079127,0.000517222
ENSG00000171621,-0.339917,0.388827,2.14023e-05
ENSG00000171612,0.204048,0.274895,4.28046e-05
ENSG00000188807,0.346765,0.148795,0.000146249
ENSG00000171608,-0.252764,0.141979,0.000160517
ENSG00000171603,-0.189999,0.218485,6.77739e-05
ENSG00000178585,-0.00754312,0.203057,7.8475e-05
ENSG00000162441,-0.136017,0.179997,9.98773e-05
ENSG00000173614,0.200499,0.140428,0.000164084
ENSG00000162444,0.145599,0.168354,0.000114145
ENSG00000130939,0.0723808,0.047219,0.00144822
ENSG00000054523,-0.0263185,0.0780987,0.00053149
ENSG00000142657,-0.0017448,0.198576,8.20421e-05
ENSG00000175279,-0.0870981,0.0920982,0.000381674
ENSG00000251503,-0.062152,0.0842091,0.000456582
ENSG00000241563,0.0970725,0.171072,0.000110578
ENSG00000160049,-0.00475272,0.0900993,0.000399509
ENSG00000142655,0.40079,0.301134,3.56705e-05
ENSG00000130940,0.0991753,0.122966,0.000214023
ENSG00000175262,0.0787222,0.0512588,0.0012342
ENSG00000120948,-0.0481385,0.224485,6.42068e-05
ENSG00000009724,0.0735739,0.0657696,0.00074908
