ensg,beta,standard_error,effect_allele_frequency
ENSG00000187634,-0.0174259,0.0276061,0.00773916
ENSG00000188976,-0.0542934,0.0716987,0.000937781
ENSG00000187961,-0.0449742,0.0636834,0.0011895
ENSG00000187583,0.0414062,0.0964738,0.000518247
ENSG00000187642,-0.0276357,0.0946404,0.00053799
ENSG00000188290,0.0184885,0.119764,0.000335627
ENSG00000187608,-0.111577,0.17189,0.000162878
ENSG00000188157,0.139957,0.114818,0.000365241
ENSG00000237330,-0.137231,0.14108,0.000241849
ENSG00000131591,-0.0442721,0.0998328,0.000483697
ENSG00000162571,0.0358475,0.0290325,0.00571553
ENSG00000186891,-0.0425777,0.0873654,0.000631768
ENSG00000186827,0.25625,0.169355,0.000167813
ENSG00000078808,-0.20962,0.190069,0.000133264
ENSG00000176022,0.211263,0.150613,0.000212235
ENSG00000184163,0.0470507,0.0721997,0.000927909
ENSG00000162572,-0.0438264,0.0612043,0.00128821
ENSG00000131584,0.168992,0.180279,0.000148071
ENSG00000169972,0.132072,0.0646391,0.00115495
ENSG00000127054,-0.0836147,0.0479379,0.0021026
ENSG00000224051,0.167691,0.17734,0.000153006
ENSG00000169962,-0.00175486,0.0973363,0.000508376
ENSG00000107404,-0.0244898,0.145599,0.000227042
ENSG00000162576,-0.143779,0.150677,0.000212235
ENSG00000175756,0.275716,0.197506,0.000123392
ENSG00000221978,0.264379,0.215525,0.000103649
ENSG00000242485,-0.0771755,0.142537,0.000236913
ENSG00000235098,0.0370649,0.0859902,0.000651511
ENSG00000205116,0.129538,0.136955,0.000256656
ENSG00000179403,0.0476626,0.0597355,0.00135238
ENSG00000215915,0.0200983,0.102978,0.000454083
ENSG00000160072,0.0146666,0.0278579,0.00623871
ENSG00000197785,0.30149,0.129703,0.00028627
ENSG00000205090,-0.469131,0.254927,7.40353e-05
ENSG00000160075,0.158183,0.210537,0.000108585
ENSG00000228594,0.0270769,0.297701,5.42926e-05
ENSG00000197530,0.0149963,0.0558816,0.00155474
ENSG00000189409,-0.169604,0.263876,6.90996e-05
ENSG00000248333,0.348304,0.226509,9.37781e-05
ENSG00000189339,-0.0714817,0.171892,0.000162878
ENSG00000008128,0.0879329,0.0583571,0.0013968
ENSG00000215790,0.148256,0.104134,0.000444212
ENSG00000008130,-0.126529,0.117225,0.000350434
ENSG00000169885,-0.0947048,0.174574,0.000157942
ENSG00000178821,0.091066,0.164585,0.000177685
ENSG00000142609,0.0358217,0.0400671,0.00301571
ENSG00000187730,0.022513,0.180283,0.000148071
ENSG00000067606,-0.00943468,0.156136,0.000197428
ENSG00000162585,-0.309032,0.190039,0.000133264
ENSG00000157933,-1.22774,0.441511,2.46784e-05
ENSG00000116151,0.23961,0.116417,0.00035537
ENSG00000157916,-0.857402,0.441526,2.46784e-05
ENSG00000157911,-0.0570575,0.118897,0.000340562
ENSG00000149527,-0.0355909,0.0716902,0.000937781
ENSG00000157881,0.0529732,0.150595,0.000212235
ENSG00000197921,-0.108913,0.441555,2.46784e-05
ENSG00000157873,-0.0540757,0.19015,0.000133264
ENSG00000157870,-0.033406,0.145663,0.000227042
ENSG00000142606,0.0599923,0.0697202,0.000992073
ENSG00000215912,0.0899812,0.125458,0.000306013
ENSG00000169717,0.56607,0.312214,4.93569e-05
ENSG00000130762,0.0415575,0.102989,0.000454083
ENSG00000162591,-0.00801439,0.0512207,0.00184101
ENSG00000158109,-0.0358207,0.042218,0.00269489
ENSG00000116213,-0.142774,0.144055,0.000231977
ENSG00000078900,0.214869,0.232739,8.88424e-05
ENSG00000162592,0.0419206,0.041859,0.00276399
ENSG00000130764,-0.343914,0.210529,0.000108585
ENSG00000116198,-0.00424312,0.0396845,0.00307987
ENSG00000169598,-0.222305,0.180291,0.000148071
ENSG00000198912,0.327935,0.20588,0.000113521
ENSG00000131697,-0.128562,0.0711517,0.000952588
ENSG00000069424,0.168365,0.09056,0.000587347
ENSG00000116254,-0.0360897,0.20154,0.000118457
ENSG00000116251,-0.148058,0.274022,6.41639e-05
ENSG00000158286,-0.19096,0.0898255,0.000597218
ENSG00000173673,0.258824,0.373171,3.45498e-05
ENSG00000158292,-0.109308,0.104712,0.000439276
ENSG00000097021,-0.0403071,0.085584,0.000829196
ENSG00000069812,0.165458,0.329091,4.44212e-05
ENSG00000187017,0.0268693,0.056807,0.00149551
ENSG00000215788,0.0110637,0.232877,8.88424e-05
ENSG00000171680,0.00557962,0.0582945,0.00142148
ENSG00000162408,0.0744639,0.133177,0.000271463
ENSG00000173662,-0.0588457,0.0399687,0.00302064
ENSG00000204859,0.0228374,0.197479,0.000123392
ENSG00000162413,0.225373,0.113298,0.000375112
ENSG00000041988,0.124935,0.190038,0.000133264
ENSG00000007923,-0.0172377,0.148867,0.00021717
ENSG00000171735,0.0237782,0.0275018,0.00646082
ENSG00000049245,0.0239274,0.329124,4.44212e-05
ENSG00000049246,-0.0493431,0.0677241,0.00104143
ENSG00000049247,-0.102266,0.115613,0.000360305
ENSG00000049249,0.137917,0.220786,9.87138e-05
ENSG00000116288,-0.0691309,0.297687,5.42926e-05
ENSG00000116285,0.193494,0.128576,0.000291206
ENSG00000162426,-0.0256972,0.0876742,0.000626832
ENSG00000142599,-0.047393,0.0302198,0.00532561
ENSG00000074800,0.0165091,0.239483,8.39067e-05
ENSG00000131686,0.298175,0.180333,0.000148071
ENSG00000197241,-0.0643693,0.130828,0.000281334
ENSG00000142583,-0.0974998,0.10716,0.000419533
ENSG00000180758,0.29192,0.171904,0.000162878
ENSG00000049239,0.242019,0.092518,0.000562668
ENSG00000171621,-0.039045,0.441521,2.46784e-05
ENSG00000171612,0.117077,0.273877,6.41639e-05
ENSG00000188807,0.10529,0.215518,0.000103649
ENSG00000171608,-0.410963,0.193629,0.000128328
ENSG00000171603,-0.0668921,0.210523,0.000108585
ENSG00000178585,0.588039,0.285053,5.92283e-05
ENSG00000162441,0.174509,0.201554,0.000118457
ENSG00000173614,-0.191409,0.148862,0.00021717
ENSG00000162444,-0.00740995,0.177344,0.000153006
ENSG00000130939,0.0713187,0.0574759,0.00146096
ENSG00000054523,0.0266979,0.114132,0.000370177
ENSG00000142657,0.410017,0.232723,8.88424e-05
ENSG00000175279,-0.0596135,0.109069,0.000404726
ENSG00000251503,-0.0873983,0.101335,0.00046889
ENSG00000241563,-0.255893,0.226534,9.37781e-05
ENSG00000160049,0.0326282,0.1266,0.000301077
