ensg,beta,standard_error,effect_allele_frequency
ENSG00000187634,-0.0041853,0.0120266,0.00751314
ENSG00000188976,0.0595019,0.0304672,0.000980497
ENSG00000187961,-0.00907072,0.0261451,0.00133268
ENSG00000187583,-0.0064035,0.0418163,0.000520264
ENSG00000187642,0.0435969,0.0397735,0.000574958
ENSG00000188290,-0.0936733,0.0551497,0.000298818
ENSG00000187608,-0.0151985,0.0837936,0.000129399
ENSG00000188157,-0.0459429,0.0520998,0.000334836
ENSG00000237330,0.025376,0.0671647,0.000201435
ENSG00000131591,-0.0146011,0.0449186,0.000450895
ENSG00000162571,-0.00717263,0.0124205,0.00593234
ENSG00000186891,-0.0637508,0.0366903,0.000676343
ENSG00000186827,-0.0180649,0.0642533,0.000220112
ENSG00000078808,-0.0803539,0.0889917,0.000112057
ENSG00000176022,-0.0547576,0.0629338,0.00022945
ENSG00000184163,-0.0347857,0.0333931,0.000817748
ENSG00000160087,-0.0413559,0.33686,8.00406e-06
ENSG00000162572,-0.0505334,0.0274064,0.00121261
ENSG00000131584,-0.183572,0.0750254,0.000161415
ENSG00000169972,0.0145678,0.0276374,0.0011926
ENSG00000127054,-0.0492958,0.0209024,0.00208772
ENSG00000224051,-0.0182699,0.0658681,0.000209439
ENSG00000169962,0.0398489,0.0410276,0.000540274
ENSG00000107404,0.0388499,0.0610129,0.000244124
ENSG00000162576,-0.103905,0.0620557,0.00023612
ENSG00000175756,-0.00267056,0.0911376,0.000109389
ENSG00000221978,0.181397,0.104805,8.27086e-05
ENSG00000242485,-0.151376,0.0671629,0.000201435
ENSG00000235098,-0.00972981,0.0414899,0.000528268
ENSG00000205116,-0.0838665,0.0543124,0.000308156
ENSG00000179403,0.0123841,0.0251011,0.0014434
ENSG00000215915,0.0282163,0.0437541,0.000469571
ENSG00000160072,-0.0247041,0.0122315,0.00611243
ENSG00000197785,0.00950909,0.0501456,0.000361517
ENSG00000205090,0.10036,0.106531,8.00406e-05
ENSG00000160075,0.0426942,0.101584,8.80446e-05
ENSG00000228594,0.0691903,0.127332,5.60284e-05
ENSG00000197530,-0.00510845,0.0252833,0.00142606
ENSG00000189409,0.0613419,0.102355,8.67106e-05
ENSG00000248333,-0.0868347,0.088476,0.000116059
ENSG00000189339,0.0577656,0.0697533,0.000184093
ENSG00000008128,0.0166806,0.0241412,0.00153945
ENSG00000215790,0.0257955,0.0454464,0.000440223
ENSG00000008130,-0.0304623,0.051194,0.000346842
ENSG00000078369,0.295801,0.175936,2.93482e-05
ENSG00000169885,-0.0542687,0.0813162,0.000137403
ENSG00000178821,0.0962577,0.0744144,0.000164083
ENSG00000142609,0.00463362,0.0173132,0.00304421
ENSG00000187730,-0.0575695,0.093439,0.000104053
ENSG00000067606,-0.0925943,0.0616911,0.000238788
