ensg,beta,standard_error,effect_allele_frequency
ENSG00000187634,0.0103782,0.0115202,0.0074701
ENSG00000188976,0.0167869,0.0291504,0.000982256
ENSG00000187961,-0.0364321,0.0249504,0.00134191
ENSG00000187583,-0.0533941,0.0393897,0.000537705
ENSG00000187642,0.0256384,0.0375378,0.000591948
ENSG00000188290,0.0523307,0.0526474,0.000300691
ENSG00000187608,-0.055068,0.0805124,0.00012853
ENSG00000188157,0.110245,0.0505142,0.000326632
ENSG00000237330,0.0289419,0.0639126,0.000203998
ENSG00000131591,-0.0424595,0.0432615,0.000445729
ENSG00000162571,0.0156456,0.0118807,0.00594188
ENSG00000186891,-0.0319995,0.0350607,0.000679207
ENSG00000186827,0.00527633,0.0628327,0.000211073
ENSG00000078808,-0.11971,0.0853472,0.000112022
ENSG00000176022,0.123604,0.0587162,0.000241732
ENSG00000184163,0.0168047,0.0319427,0.000819529
ENSG00000160087,-0.231234,0.317657,8.25425e-06
ENSG00000162572,-0.00868162,0.0264035,0.00119805
ENSG00000131584,-0.060559,0.0715548,0.000162727
ENSG00000169972,0.0142828,0.0264441,0.00119451
ENSG00000127054,-0.0118185,0.0198468,0.0021237
ENSG00000224051,-0.0279838,0.0624834,0.000213431
ENSG00000169962,-0.0118811,0.0397764,0.000527093
ENSG00000107404,-0.148472,0.058431,0.00024409
ENSG00000162576,-0.0330188,0.0596093,0.000234657
ENSG00000175756,-0.104475,0.0881165,0.000107305
ENSG00000221978,-0.0774657,0.10193,8.01841e-05
ENSG00000242485,0.0800072,0.0644723,0.00020046
ENSG00000235098,-0.00273595,0.0395992,0.00053181
ENSG00000205116,0.0446672,0.0524452,0.000303049
ENSG00000179403,-0.00533763,0.023762,0.00147751
ENSG00000215915,-0.010637,0.0419909,0.000468134
ENSG00000160072,-0.0137955,0.0117376,0.0060881
ENSG00000197785,0.0179595,0.0470764,0.000376158
ENSG00000205090,0.0481381,0.099749,8.37217e-05
ENSG00000160075,-0.0923097,0.0964229,8.96176e-05
ENSG00000228594,-0.093837,0.122599,5.54214e-05
ENSG00000197530,0.028343,0.0241221,0.0014386
ENSG00000189409,0.0541281,0.0957856,9.07967e-05
