ensg,beta,standard_error,effect_allele_frequency
ENSG00000187634,-0.0169108,0.0119111,0.00750098
ENSG00000188976,0.0142267,0.0301695,0.000979596
ENSG00000187961,-0.0402917,0.0258659,0.00133389
ENSG00000187583,0.00469026,0.041417,0.000519543
ENSG00000187642,0.0112505,0.0390061,0.000585643
ENSG00000188290,0.106448,0.0547111,0.000297448
ENSG00000187608,-0.0921856,0.0833125,0.000128233
ENSG00000188157,-0.063316,0.0515959,0.000334464
ENSG00000237330,0.0940502,0.0661257,0.000203587
ENSG00000131591,-0.0387353,0.044464,0.000450799
ENSG00000162571,-0.00331077,0.012293,0.0059331
ENSG00000186891,0.0320734,0.036372,0.000674216
ENSG00000186827,0.0480722,0.0640785,0.000216807
ENSG00000078808,0.0364011,0.0884808,0.000111047
ENSG00000176022,7.8479e-05,0.0622117,0.000230027
ENSG00000184163,0.0181204,0.0331462,0.000813025
ENSG00000160087,0.198594,0.334927,7.93195e-06
ENSG00000162572,-0.0501727,0.0270563,0.00121888
ENSG00000131584,-0.176625,0.0742885,0.000161283
ENSG00000169972,-0.0430568,0.0273564,0.00119244
ENSG00000127054,0.013755,0.0207163,0.00208214
ENSG00000224051,-0.105195,0.0650769,0.000210197
ENSG00000169962,0.0291375,0.0406918,0.000538051
ENSG00000107404,0.00999802,0.0601716,0.000245891
ENSG00000162576,-0.0412471,0.0613538,0.000236637
ENSG00000175756,0.0645939,0.0906144,0.000108403
ENSG00000221978,0.110196,0.103373,8.32855e-05
ENSG00000242485,-0.0562574,0.0667773,0.000199621
ENSG00000235098,-0.01562,0.0412515,0.000523509
ENSG00000205116,-0.0309521,0.053313,0.000313312
ENSG00000179403,-0.00994246,0.0247863,0.00145023
ENSG00000215915,0.0891199,0.0433209,0.000469307
ENSG00000160072,0.00220921,0.0121153,0.00610364
ENSG00000197785,0.0386558,0.049494,0.000363548
ENSG00000205090,-0.0185723,0.105048,8.06415e-05
ENSG00000160075,-0.206751,0.101001,8.72515e-05
ENSG00000228594,0.158647,0.125119,5.68457e-05
ENSG00000197530,-0.0113412,0.0250688,0.00142114
ENSG00000189409,0.108185,0.101767,8.59295e-05
ENSG00000248333,-0.0721496,0.0874671,0.000116335
ENSG00000189339,0.0376504,0.068147,0.000189045
ENSG00000008128,0.0117203,0.023901,0.0015388
ENSG00000215790,0.0691159,0.0450491,0.000438901
ENSG00000008130,0.0109532,0.0509982,0.000342396
ENSG00000078369,0.184878,0.174926,2.90838e-05
ENSG00000169885,-0.0678228,0.08046,0.000137487
ENSG00000178821,-0.152996,0.0733931,0.000165249
ENSG00000142609,0.00585515,0.0171353,0.00304455
ENSG00000187730,0.0356429,0.0923127,0.000104437
ENSG00000067606,-0.0155717,0.0609973,0.000239281
ENSG00000162585,-0.0513927,0.084631,0.000124267
ENSG00000157933,-0.0965443,0.171069,3.04058e-05
ENSG00000116151,0.00235942,0.0543525,0.000301414
ENSG00000157916,-0.182066,0.160899,3.43718e-05
ENSG00000157911,-0.0285413,0.0456004,0.000428326
ENSG00000149527,0.0236387,0.0306039,0.000951835
ENSG00000157881,-0.00504181,0.0652831,0.000208875
ENSG00000197921,0.26389,0.174919,2.90838e-05
ENSG00000157873,0.041655,0.0708973,0.000177147
ENSG00000157870,-0.089028,0.0592569,0.000251179
ENSG00000142606,0.0320282,0.0304607,0.000958444
ENSG00000215912,0.0495794,0.0499567,0.000356938
ENSG00000169717,-0.117098,0.14282,4.36257e-05
ENSG00000142611,0.0984592,0.167468,3.17278e-05
ENSG00000130762,0.0677686,0.0429064,0.000483849
ENSG00000162591,-0.00117961,0.0222015,0.00180981
ENSG00000158109,0.00639195,0.0186767,0.00255409
ENSG00000116213,-0.00755576,0.0608301,0.000240603
ENSG00000078900,-0.0369785,0.100239,8.85735e-05
ENSG00000162592,0.013255,0.0170918,0.0030657
ENSG00000235169,0.313011,0.193371,2.37959e-05
ENSG00000130764,0.064164,0.0960311,9.65054e-05
ENSG00000116198,0.0250669,0.0202196,0.00218922
ENSG00000169598,0.0938627,0.0895248,0.000111047
ENSG00000198912,-0.045015,0.0785926,0.000144097
ENSG00000196581,0.164414,0.310085,9.25395e-06
ENSG00000131697,-0.00159592,0.0308868,0.000934649
ENSG00000069424,0.0565988,0.0378328,0.000622658
ENSG00000116254,-0.137774,0.0833099,0.000128233
ENSG00000116251,-0.0145159,0.126608,5.55237e-05
ENSG00000158286,0.0304649,0.0402502,0.000549949
ENSG00000116237,-0.210728,0.236917,1.58639e-05
ENSG00000173673,0.10173,0.128133,5.42017e-05
ENSG00000158292,-0.03386,0.0541156,0.000304058
ENSG00000097021,-0.00551094,0.039162,0.000695368
ENSG00000069812,0.00109203,0.17107,3.04058e-05
ENSG00000187017,-0.0259444,0.0237812,0.00157846
ENSG00000215788,-0.0268633,0.0995409,8.98955e-05
ENSG00000171680,-0.0349057,0.0265637,0.00126382
ENSG00000162408,0.0178709,0.0483651,0.000380734
ENSG00000173662,-0.046095,0.0167882,0.00317014
ENSG00000204859,0.0301065,0.0980672,9.25395e-05
ENSG00000162413,0.0834678,0.0471558,0.000400564
ENSG00000041988,-0.0145096,0.0733936,0.000165249
ENSG00000007923,0.0120943,0.0642738,0.000215485
ENSG00000171735,-0.0177786,0.0106682,0.00795311
ENSG00000049245,0.0379129,0.128131,5.42017e-05
ENSG00000049246,-0.00296034,0.0298684,0.000996782
ENSG00000049247,-0.00969929,0.0468466,0.000405852
ENSG00000049249,0.0731288,0.0911779,0.000107081
ENSG00000116288,0.161874,0.109639,7.40316e-05
ENSG00000116285,0.0966693,0.0613379,0.000236637
ENSG00000162426,-0.0428189,0.0344232,0.000752214
ENSG00000142599,0.0335501,0.0127251,0.00555766
ENSG00000074800,0.0598866,0.110631,7.27096e-05
ENSG00000131686,-0.141402,0.0772005,0.000149385
ENSG00000197241,-0.0716573,0.050906,0.000343718
ENSG00000142583,0.00771222,0.0455281,0.000429648
ENSG00000180758,0.0505457,0.0782365,0.000145419
ENSG00000049239,-0.0047078,0.0410942,0.000527475
ENSG00000171621,-0.0509191,0.211836,1.98299e-05
ENSG00000171612,-0.0094668,0.133097,5.02357e-05
ENSG00000188807,-0.00415393,0.0749313,0.000158639
ENSG00000171608,-0.141775,0.0755365,0.000155995
ENSG00000171603,0.0144537,0.108676,7.53536e-05
ENSG00000178585,-0.0271009,0.102581,8.46075e-05
ENSG00000162441,0.00919613,0.0793275,0.000141453
ENSG00000173614,-0.0191582,0.067451,0.000195655
ENSG00000162444,0.148253,0.086973,0.000117657
ENSG00000130939,-0.0119132,0.0250486,0.00141982
ENSG00000054523,-0.0540372,0.0433633,0.000474595
ENSG00000142657,-0.183945,0.0947399,9.91494e-05
ENSG00000175279,0.0132716,0.0480322,0.000386022
ENSG00000251503,0.0345743,0.0436262,0.000467985
ENSG00000241563,0.1551,0.0864904,0.000118979
ENSG00000160049,0.0337102,0.0497903,0.000356938
ENSG00000142655,0.0169559,0.171069,3.04058e-05
ENSG00000130940,-0.0118943,0.0659097,0.000204909
ENSG00000175262,0.0138899,0.026936,0.00122681
ENSG00000120948,0.126388,0.129726,5.28797e-05
ENSG00000009724,-0.0152025,0.0345718,0.00074296
ENSG00000116649,-0.309197,0.167469,3.17278e-05
ENSG00000171824,-0.0937871,0.0495848,0.000362226
ENSG00000198793,-0.086753,0.059224,0.000253823
ENSG00000171819,0.0244618,0.0408905,0.000532763
ENSG00000120942,-0.223451,0.179042,2.77618e-05
ENSG00000204624,0.0431387,0.0390484,0.000581677
ENSG00000116661,-0.136488,0.0745967,0.000159961
ENSG00000132879,-0.145307,0.0615073,0.000235315
ENSG00000116663,-0.0509542,0.0785944,0.000144097
ENSG00000116670,0.0263311,0.0793302,0.000141453
ENSG00000162490,-0.00108333,0.0423387,0.000491781
ENSG00000177674,-0.00468188,0.0569297,0.000274974
ENSG00000215910,-0.00579459,0.0193416,0.00238752
ENSG00000177000,0.00441026,0.0657004,0.000206231
ENSG00000011021,-0.0325737,0.0716933,0.000173181
ENSG00000175206,0.0233916,0.0455294,0.000429648
ENSG00000120937,-0.0356864,0.0736916,0.000163927
ENSG00000116685,0.102332,0.0691058,0.000186401
ENSG00000083444,-0.0295997,0.0310634,0.000924073
ENSG00000116688,-0.0694692,0.0879663,0.000115013
ENSG00000116691,-0.033793,0.0436319,0.000467985
ENSG00000120949,-0.161248,0.117208,6.47776e-05
ENSG00000028137,-0.00845441,0.13868,4.62697e-05
ENSG00000048707,-0.0561328,0.0437484,0.000465341
ENSG00000162496,-0.073792,0.247358,1.45419e-05
ENSG00000204518,0.088756,0.107739,7.66756e-05
ENSG00000188984,-0.0375647,0.0765184,0.000152029
ENSG00000157330,-0.0438663,0.0722931,0.000170537
ENSG00000116726,-0.00844648,0.0596927,0.000249857
ENSG00000116721,0.00832158,0.0389559,0.000560525
ENSG00000239810,0.0130974,0.0122016,0.00594897
ENSG00000179172,0.0212283,0.0917395,0.000100471
ENSG00000120952,-0.0461448,0.0596956,0.000241925
ENSG00000243073,-0.0678739,0.0636897,0.000195655
ENSG00000187545,-0.0137235,0.0492522,0.00036487
ENSG00000204510,-0.000773422,0.0804748,0.000132199
ENSG00000232423,0.0664153,0.0629375,0.000222095
ENSG00000274764,-0.0391255,0.0600118,0.000236637
ENSG00000275774,-0.0105922,0.024897,0.00141453
ENSG00000204505,0.059424,0.140712,3.96598e-05
ENSG00000270601,-0.0348619,0.099622,8.98955e-05
ENSG00000182330,0.0166112,0.0442547,0.000452121
ENSG00000204501,-0.000217734,0.0103656,0.00842374
ENSG00000204481,-0.0204628,0.0434414,0.000464019
ENSG00000204480,0.0724239,0.0755479,0.000155995
ENSG00000204479,-0.0081685,0.0251716,0.00140924
ENSG00000204478,-0.000589571,0.0469217,0.00040453
ENSG00000162494,-0.0352179,0.029752,0.00100736
ENSG00000162493,-0.00647449,0.0504245,0.000350328
ENSG00000116731,0.0946597,0.0503227,0.00035165
ENSG00000189337,0.0506001,0.0652844,0.000208875
ENSG00000171729,0.00835323,0.167468,3.17278e-05
ENSG00000142621,0.0163356,0.0123384,0.00589476
ENSG00000142634,-0.131248,0.123692,5.81677e-05
ENSG00000162438,0.0402213,0.0816438,0.000133521
ENSG00000142615,-0.0325678,0.0573195,0.000271008
ENSG00000215704,0.0557139,0.0683854,0.000190367
ENSG00000132906,0.045085,0.0508983,0.000343718
ENSG00000116138,-0.0330197,0.0523254,0.00032521
ENSG00000116771,0.00624204,0.0297314,0.00100868
ENSG00000215695,0.0871161,0.0616875,0.000233993
ENSG00000116786,-0.120974,0.0693516,0.000185079
ENSG00000162461,0.0506393,0.0399617,0.000557881
ENSG00000162460,0.0857513,0.0771944,0.000149385
ENSG00000162458,0.0326458,0.0481951,0.000383378
ENSG00000233954,0.204773,0.147362,4.09818e-05
ENSG00000065526,0.0289217,0.0239274,0.00155995
ENSG00000116809,0.0297385,0.0716935,0.000173181
ENSG00000183888,-0.0734432,0.0960487,9.65054e-05
ENSG00000173641,-0.0152673,0.0884758,0.000113691
ENSG00000186510,-0.0324211,0.0266119,0.00125986
ENSG00000184908,-0.0025629,0.0199329,0.00224739
ENSG00000185519,0.099381,0.0752202,0.000157317
ENSG00000142627,-0.114667,0.0581741,0.000263076
ENSG00000142632,0.0175783,0.0441268,0.000457409
ENSG00000132881,0.00516318,0.0768551,0.000150707
ENSG00000037637,-0.0370577,0.167478,3.17278e-05
ENSG00000055070,0.356193,0.227539,1.71859e-05
ENSG00000187144,-0.0551447,0.0452539,0.000434935
ENSG00000157191,-0.0172715,0.0453888,0.000432292
ENSG00000219481,-0.00147708,0.0141338,0.00449345
ENSG00000058453,-0.0306317,0.0191417,0.00244172
ENSG00000117122,-0.215291,0.145037,4.23038e-05
ENSG00000159363,-0.030594,0.0367529,0.000659674
ENSG00000117118,-0.000514544,0.116034,6.60996e-05
ENSG00000117115,0.0285362,0.0157369,0.00361301
ENSG00000142623,-0.011197,0.0271118,0.00120698
ENSG00000142619,0.0442447,0.044066,0.000458731
ENSG00000159339,0.00495992,0.0156604,0.00364209
ENSG00000276747,0.0244948,0.0350094,0.000727096
ENSG00000179051,-0.077304,0.114893,6.74216e-05
ENSG00000074964,0.00683717,0.0665592,0.000200943
ENSG00000117148,0.0437451,0.0241002,0.00153748
ENSG00000117154,0.17872,0.116031,6.60996e-05
ENSG00000179023,-0.00963748,0.0502426,0.000352972
ENSG00000009709,-0.0839815,0.167467,3.17278e-05
ENSG00000179002,0.052505,0.0421085,0.000502357
ENSG00000159423,-0.0361992,0.0387429,0.000593575
ENSG00000169991,-0.0245689,0.119674,6.21336e-05
ENSG00000127481,0.0760773,0.0596925,0.000249857
ENSG00000127463,-0.0211919,0.0351704,0.000720486
ENSG00000053372,-0.135674,0.129722,5.28797e-05
ENSG00000162482,0.0460661,0.0241397,0.00153219
ENSG00000053371,-0.0986801,0.0980863,9.25395e-05
ENSG00000040487,0.000970991,0.0552036,0.00029216
ENSG00000077549,-0.0390345,0.152351,3.83378e-05
ENSG00000173436,-0.0348368,0.136743,4.75917e-05
ENSG00000158747,-0.0272552,0.0423303,0.000497069
ENSG00000270136,-0.0631958,0.0606639,0.000241925
