ensg,beta,standard_error,effect_allele_frequency
ENSG00000187634,0.0209651,0.0125189,0.00746968
ENSG00000188976,-0.0370976,0.0314739,0.000994096
ENSG00000187961,-0.0228297,0.0271318,0.00133881
ENSG00000187583,0.0259018,0.0427843,0.00053771
ENSG00000187642,0.0243416,0.0407608,0.000592331
ENSG00000188290,-0.0500617,0.0577383,0.000294952
ENSG00000187608,0.0824844,0.0878218,0.000127448
ENSG00000188157,0.0693639,0.054878,0.00032651
ENSG00000237330,-0.104945,0.0696419,0.000202703
ENSG00000131591,-0.0337203,0.0465637,0.000453958
ENSG00000162571,0.0145588,0.0129131,0.00593787
ENSG00000186891,0.0115391,0.0381702,0.000676082
ENSG00000186827,0.0139381,0.067268,0.000217269
ENSG00000078808,-0.00769827,0.0933159,0.000110455
ENSG00000176022,-0.0200605,0.0651224,0.000231834
ENSG00000184163,0.0218395,0.0346475,0.000821738
ENSG00000160087,0.756124,0.340078,8.49655e-06
ENSG00000162572,0.055422,0.0286356,0.00120165
ENSG00000131584,-0.024237,0.0774525,0.000163862
ENSG00000169972,-0.0212775,0.0287542,0.00119194
ENSG00000127054,0.00107914,0.0217477,0.00208651
ENSG00000224051,-0.0462748,0.0676452,0.000214841
ENSG00000169962,0.00490405,0.0428247,0.000536496
ENSG00000107404,0.0351288,0.0637997,0.000241545
ENSG00000162576,-0.0225164,0.064634,0.000235476
ENSG00000175756,-0.0864631,0.0959307,0.000106814
ENSG00000221978,0.0238123,0.109124,8.25379e-05
ENSG00000242485,0.0430061,0.06964,0.000202703
ENSG00000235098,0.012514,0.0432665,0.000525572
ENSG00000205116,-0.0173913,0.0569281,0.000303448
ENSG00000179403,0.0127255,0.0258543,0.00147233
ENSG00000215915,0.00657372,0.0457602,0.000464883
ENSG00000160072,-0.00380692,0.012728,0.0061078
ENSG00000197785,-0.10105,0.0517123,0.000367779
ENSG00000205090,-0.0975298,0.108326,8.37517e-05
ENSG00000160075,-0.0141781,0.104615,8.98207e-05
ENSG00000228594,-0.207595,0.132672,5.58345e-05
ENSG00000197530,0.00224512,0.0263205,0.00142499
ENSG00000189409,0.0729851,0.107551,8.49655e-05
ENSG00000248333,0.143419,0.0918443,0.000116524
ENSG00000189339,-0.120083,0.0720559,0.000186924
ENSG00000008128,-0.00816826,0.0249284,0.00156458
ENSG00000215790,-0.0232907,0.0473143,0.000439393
ENSG00000008130,0.0166727,0.0538884,0.000338648
ENSG00000078369,-0.244328,0.179964,3.03448e-05
ENSG00000169885,0.0441838,0.0831961,0.000142014
ENSG00000178821,-0.0486749,0.0780341,0.000161434
ENSG00000142609,0.013315,0.0179737,0.00305147
ENSG00000187730,0.03634,0.0981824,0.000101959
ENSG00000067606,0.197153,0.0642866,0.000237903
ENSG00000162585,0.0697692,0.0895435,0.000122593
ENSG00000157933,0.0350903,0.173164,3.27724e-05
ENSG00000116151,0.0296589,0.05774,0.000294952
ENSG00000157916,-0.00860969,0.173163,3.27724e-05
ENSG00000157911,-0.0434174,0.0481177,0.000424827
ENSG00000149527,0.00198963,0.0321649,0.000951613
ENSG00000157881,-0.0918938,0.0684241,0.000209986
ENSG00000197921,0.225072,0.187621,2.79172e-05
ENSG00000157873,0.0659803,0.0760685,0.000169931
ENSG00000157870,0.0668106,0.0622896,0.000251255
ENSG00000142606,-0.0395553,0.0318264,0.00096982
ENSG00000215912,-0.0588608,0.0524173,0.000358069
ENSG00000169717,-0.116213,0.144086,4.73379e-05
ENSG00000142611,-0.0410677,0.167085,3.52e-05
ENSG00000130762,0.0403532,0.0451255,0.000483089
ENSG00000162591,-0.00367128,0.0234739,0.00178792
ENSG00000158109,-0.00395216,0.0196039,0.0025611
ENSG00000116213,-0.0622635,0.0651221,0.000231834
ENSG00000078900,-0.0685865,0.103907,9.10344e-05
ENSG00000162592,-0.0137097,0.0178566,0.00310245
ENSG00000235169,0.016496,0.187618,2.79172e-05
ENSG00000130764,0.161146,0.0993727,9.9531e-05
ENSG00000116198,-0.013715,0.0212346,0.00219211
ENSG00000169598,-0.0841395,0.0933129,0.000112883
ENSG00000198912,-0.00918083,0.0821494,0.000145655
ENSG00000196581,-0.16963,0.259741,1.45655e-05
