ensg,beta,standard_error,effect_allele_frequency
ENSG00000187634,-0.00180488,0.0132378,0.00747878
ENSG00000188976,-0.041861,0.033537,0.000980472
ENSG00000187961,-0.0244443,0.0288071,0.00132996
ENSG00000187583,0.0269751,0.0452657,0.000537947
ENSG00000187642,0.00940925,0.043117,0.000592816
ENSG00000188290,0.000247332,0.0601698,0.000304161
ENSG00000187608,0.0901023,0.0937517,0.000125243
ENSG00000188157,0.0178706,0.0589128,0.000317282
ENSG00000237330,0.0359811,0.0732559,0.00020516
ENSG00000131591,0.0220932,0.050042,0.000440139
ENSG00000162571,-0.0101505,0.0136822,0.00591861
ENSG00000186891,0.00178728,0.0404932,0.000672732
ENSG00000186827,0.0514319,0.0718097,0.000213509
ENSG00000078808,-0.16007,0.0996167,0.000108544
ENSG00000176022,-0.0897438,0.0682807,0.000236172
ENSG00000184163,-0.105741,0.0369303,0.000809903
ENSG00000160087,-0.634309,0.363041,8.34952e-06
ENSG00000162572,0.00270792,0.0302803,0.00120352
ENSG00000131584,0.0107154,0.0829897,0.000159834
ENSG00000169972,-0.0106692,0.0304474,0.0011904
ENSG00000127054,0.00566789,0.0229249,0.00210289
ENSG00000224051,-0.101831,0.0720098,0.000212316
ENSG00000169962,-0.0574617,0.0453583,0.000535562
ENSG00000107404,0.00214838,0.0674338,0.000242136
ENSG00000162576,0.0090463,0.0682973,0.000236172
ENSG00000175756,0.0473782,0.101264,0.000107351
ENSG00000221978,-0.124191,0.114817,8.34952e-05
ENSG00000242485,0.0586075,0.0743424,0.000199196
ENSG00000235098,-0.112067,0.0452074,0.00053914
ENSG00000205116,0.0126381,0.0599385,0.000306546
ENSG00000179403,0.0147667,0.0273867,0.00146951
ENSG00000215915,-0.0457979,0.0482312,0.000468766
ENSG00000160072,0.020705,0.0134629,0.00611423
ENSG00000197785,-0.0578601,0.0543158,0.000373343
ENSG00000205090,0.00658907,0.113206,8.58807e-05
ENSG00000160075,0.192196,0.111678,8.82663e-05
ENSG00000228594,0.0916508,0.138648,5.72538e-05
ENSG00000197530,0.0338194,0.027776,0.00143373
ENSG00000189409,-0.109182,0.109471,9.18447e-05
ENSG00000248333,-0.176345,0.0965495,0.000118086
ENSG00000189339,0.0810046,0.0761919,0.000187268
ENSG00000008128,0.0424595,0.0264303,0.00155897
ENSG00000215790,-0.0219973,0.0505073,0.000431789
ENSG00000008130,0.00843025,0.0568194,0.000341137
ENSG00000078369,-0.279904,0.188385,3.10125e-05
ENSG00000169885,0.08058,0.0880651,0.000141942
ENSG00000178821,0.103613,0.0826838,0.000161026
ENSG00000142609,0.0313581,0.0190111,0.00305473
ENSG00000187730,0.226434,0.104194,0.000101387
ENSG00000067606,0.128647,0.0688027,0.000232594
ENSG00000162585,0.183772,0.0937514,0.000125243
ENSG00000157933,0.0838043,0.178369,3.45908e-05
ENSG00000116151,0.000154422,0.0608918,0.000297004
ENSG00000157916,-0.0784547,0.184856,3.22053e-05
ENSG00000157911,-0.00398366,0.0507897,0.000427018
ENSG00000149527,-0.0725331,0.0341843,0.000943495
ENSG00000157881,-0.131028,0.0726259,0.000208738
ENSG00000197921,-0.106813,0.196073,2.86269e-05
ENSG00000157873,0.021617,0.0803556,0.000170569
ENSG00000157870,-0.0904278,0.0660211,0.000250485
ENSG00000142606,0.0630581,0.0333369,0.000990014
ENSG00000215912,-0.0211305,0.0567314,0.00034233
ENSG00000169717,0.0590506,0.15188,4.77115e-05
ENSG00000142611,-0.236684,0.175369,3.57836e-05
ENSG00000130762,-0.0354786,0.0477544,0.000483079
ENSG00000162591,0.00174847,0.0248405,0.00178799
ENSG00000158109,-0.0152218,0.0207569,0.00255853
ENSG00000116213,-0.0279518,0.0686303,0.000233786
ENSG00000078900,-0.121006,0.114004,8.46879e-05
ENSG00000162592,0.000786902,0.0189438,0.00308694
ENSG00000235169,-0.0537045,0.19607,2.86269e-05
ENSG00000130764,0.0865616,0.104194,0.000101387
ENSG00000116198,0.000740551,0.0224038,0.00220546
ENSG00000169598,0.000463542,0.0985592,0.000113315
ENSG00000198912,0.0435805,0.0880634,0.000141942
ENSG00000196581,0.245941,0.27728,1.43135e-05
ENSG00000131697,0.0309568,0.0340383,0.000951845
ENSG00000069424,0.00682773,0.0425244,0.000609515
ENSG00000116254,0.112818,0.0920121,0.000130014
ENSG00000116251,0.196431,0.141637,5.48682e-05
ENSG00000158286,-0.00303375,0.0449596,0.000545104
ENSG00000116237,-0.422542,0.240188,1.90846e-05
ENSG00000173673,0.144329,0.135847,5.96394e-05
ENSG00000158292,0.044311,0.0611379,0.000294619
ENSG00000097021,-0.0290066,0.0439868,0.000678696
ENSG00000069812,-0.159355,0.19607,2.86269e-05
ENSG00000187017,-0.0177142,0.026591,0.00156136
ENSG00000215788,-0.00271855,0.110224,9.06519e-05
ENSG00000171680,-0.00808126,0.029303,0.00128583
ENSG00000162408,0.0956077,0.0524263,0.000400777
ENSG00000173662,-0.0029557,0.018537,0.00321456
ENSG00000204859,0.240021,0.108768,9.30375e-05
ENSG00000162413,0.106805,0.052272,0.000403162
ENSG00000041988,-0.00920564,0.0820793,0.000163412
ENSG00000007923,0.0445758,0.0697,0.00022663
ENSG00000171735,0.0118289,0.0118475,0.00797617
ENSG00000049245,0.179368,0.148217,5.00971e-05
ENSG00000049246,-0.0104064,0.0333139,0.000991207
ENSG00000049247,0.00785252,0.0517423,0.000411512
ENSG00000049249,0.05789,0.100712,0.000108544
ENSG00000116288,0.244828,0.12299,7.27601e-05
ENSG00000116285,-0.0434651,0.068804,0.000232594
ENSG00000162426,-0.0641435,0.0383009,0.000751456
ENSG00000142599,-0.00441253,0.0141587,0.00555243
ENSG00000074800,-0.0976718,0.118243,7.8724e-05
ENSG00000131686,0.132839,0.0852588,0.000151484
ENSG00000197241,-0.022519,0.057327,0.000335173
ENSG00000142583,0.0376901,0.0502989,0.000435368
ENSG00000180758,0.0296651,0.0862731,0.000147906
ENSG00000049239,0.0347422,0.0459729,0.000521248
ENSG00000171621,-0.0316604,0.248013,1.78918e-05
ENSG00000171612,0.0451027,0.148221,5.00971e-05
ENSG00000188807,-0.0070555,0.085277,0.000151484
ENSG00000171608,-0.00687526,0.0845832,0.00015387
ENSG00000171603,0.078538,0.121027,7.51456e-05
ENSG00000178585,0.143775,0.115669,8.23024e-05
ENSG00000162441,0.0384502,0.0911851,0.000132399
ENSG00000173614,-0.100994,0.0750193,0.000195617
ENSG00000162444,0.0192176,0.0951173,0.000121664
ENSG00000130939,0.000207779,0.0280041,0.0014051
ENSG00000054523,0.0830777,0.0480363,0.000478308
ENSG00000142657,0.0827503,0.106082,9.78086e-05
ENSG00000175279,-0.105284,0.0542296,0.000374535
ENSG00000251503,-0.0553081,0.0492982,0.000453259
ENSG00000241563,0.10039,0.0975391,0.0001157
ENSG00000160049,0.0576634,0.0553238,0.000357836
ENSG00000142655,0.0114716,0.181525,3.33981e-05
ENSG00000130940,0.0415013,0.0728314,0.000207545
ENSG00000175262,0.00538599,0.0301124,0.00121426
ENSG00000120948,0.00100832,0.151878,4.77115e-05
ENSG00000009724,0.000980961,0.0383888,0.000745492
ENSG00000116649,0.184788,0.188377,3.10125e-05
ENSG00000171824,0.0952605,0.0538901,0.000379307
ENSG00000198793,-0.0682999,0.0667779,0.000246907
ENSG00000171819,0.0303505,0.0459204,0.000522441
ENSG00000120942,0.181882,0.196078,2.86269e-05
ENSG00000204624,0.0102689,0.0425609,0.000605936
ENSG00000116661,0.11237,0.0817799,0.000164605
ENSG00000132879,0.0429997,0.0696994,0.00022663
ENSG00000116663,-0.0448041,0.0891959,0.000138363
ENSG00000116670,0.041656,0.0892015,0.000138363
ENSG00000162490,0.0676826,0.0471814,0.000490236
ENSG00000177674,-0.0120835,0.0652513,0.000258835
ENSG00000215910,0.00295668,0.0215466,0.00237961
ENSG00000177000,-0.110009,0.0714122,0.000215895
ENSG00000011021,0.0847286,0.079782,0.000172954
ENSG00000175206,-0.0821595,0.0502314,0.00043656
ENSG00000120937,0.0513167,0.0826863,0.000161026
ENSG00000116685,-0.0226221,0.0784425,0.000178918
ENSG00000083444,-0.04834,0.0342535,0.000939917
ENSG00000116688,0.0431621,0.0990804,0.000112122
ENSG00000116691,-0.00437906,0.0479361,0.000479501
ENSG00000120949,-0.0136612,0.134508,6.08322e-05
ENSG00000028137,-0.0594794,0.155825,4.53259e-05
ENSG00000048707,0.0510333,0.0494956,0.000449681
ENSG00000162496,0.0325418,0.266398,1.55062e-05
ENSG00000204518,0.163994,0.114821,8.34952e-05
ENSG00000188984,-0.0286179,0.08208,0.000163412
ENSG00000157330,0.00666286,0.0836727,0.000157448
ENSG00000116726,-0.0861088,0.0661436,0.000251678
ENSG00000116721,0.0228327,0.0429798,0.000570153
ENSG00000239810,0.00588961,0.0135625,0.00596036
ENSG00000179172,0.0164315,0.102407,0.000100194
ENSG00000120952,-0.0514735,0.067272,0.000236172
ENSG00000243073,0.170429,0.0714106,0.000194424
ENSG00000187545,0.0290638,0.0546007,0.000367379
ENSG00000204510,0.0815739,0.0907879,0.000128821
ENSG00000232423,-0.0319788,0.0695221,0.000225437
ENSG00000274764,-0.0761843,0.0667804,0.000234979
ENSG00000275774,-0.017942,0.0279547,0.0013896
ENSG00000204505,0.112207,0.148232,4.53259e-05
ENSG00000270601,0.0765422,0.110424,9.06519e-05
ENSG00000182330,0.0777951,0.0488749,0.000456838
ENSG00000204501,0.0301075,0.0115033,0.00846044
ENSG00000204481,0.00332811,0.0477522,0.000471151
ENSG00000204480,-0.069732,0.0842648,0.000155062
ENSG00000204479,-0.0307869,0.0280704,0.00140153
ENSG00000204478,-0.0126089,0.0524252,0.000400777
ENSG00000162494,-0.0240909,0.0331564,0.00100313
ENSG00000162493,0.0871785,0.0562384,0.000348294
ENSG00000116731,0.0166288,0.0568203,0.000341137
ENSG00000189337,0.0694292,0.0736858,0.000202774
ENSG00000171729,0.0880284,0.175374,3.57836e-05
ENSG00000142621,0.00318518,0.0136792,0.00593412
ENSG00000142634,-0.0202205,0.143194,5.36755e-05
ENSG00000162438,-0.0589124,0.088063,0.000141942
ENSG00000142615,-0.0841161,0.0634955,0.000273148
ENSG00000215704,-0.0375828,0.0771699,0.000184882
ENSG00000132906,0.0639249,0.0569174,0.000339945
ENSG00000116138,0.0938038,0.0576282,0.000331595
ENSG00000116771,0.0123056,0.0328068,0.0010246
ENSG00000197312,0.422088,0.339603,9.5423e-06
ENSG00000215695,0.0250635,0.0695278,0.000227822
ENSG00000116786,0.0835494,0.0784422,0.000178918
ENSG00000162461,-0.0213208,0.0442862,0.000561803
ENSG00000162460,0.0750414,0.0852507,0.000151484
ENSG00000162458,-0.0637212,0.0539691,0.000378114
ENSG00000233954,0.279033,0.167217,3.9362e-05
ENSG00000065526,-0.00255188,0.0267717,0.00154108
ENSG00000116809,0.114613,0.0797827,0.000172954
ENSG00000183888,0.00091937,0.108094,9.42302e-05
ENSG00000173641,0.0387474,0.101258,0.000107351
ENSG00000186510,0.0123323,0.0296545,0.00125481
ENSG00000184908,0.0374619,0.0223473,0.00221143
ENSG00000185519,-0.126782,0.0845843,0.00015387
ENSG00000142627,-0.0429083,0.0644859,0.000264799
ENSG00000142632,-0.00438149,0.0496245,0.000447295
ENSG00000132881,0.0708617,0.0869797,0.00014552
ENSG00000037637,0.211639,0.181543,3.33981e-05
ENSG00000055070,0.187407,0.266399,1.55062e-05
ENSG00000187144,0.0500764,0.0501649,0.000437753
ENSG00000157191,0.115748,0.0503684,0.000434175
ENSG00000219481,-0.000374473,0.0157104,0.00449562
ENSG00000058453,-0.0226126,0.0212876,0.00244164
ENSG00000117122,0.277633,0.162366,4.17476e-05
ENSG00000159363,-0.0130603,0.0413249,0.000645298
ENSG00000117118,-0.0358135,0.126133,6.91817e-05
ENSG00000117115,-0.0353651,0.017334,0.00368214
ENSG00000142623,-0.0579563,0.0302634,0.00119875
ENSG00000142619,0.0648481,0.0487272,0.000463995
ENSG00000159339,-0.0053508,0.0174315,0.00363681
ENSG00000276747,-0.0698035,0.0391453,0.000719251
ENSG00000179051,-0.0242361,0.130722,6.44105e-05
ENSG00000074964,0.0985951,0.0745681,0.000198003
ENSG00000117148,0.00828299,0.0269268,0.00152319
ENSG00000117154,0.0542192,0.125057,7.03745e-05
ENSG00000179023,0.069755,0.056151,0.000349487
ENSG00000009709,-0.235881,0.178373,3.45908e-05
ENSG00000179002,0.0109852,0.0468375,0.000502164
ENSG00000159423,0.0209558,0.0437328,0.000576117
ENSG00000169991,-0.0904815,0.134506,6.08322e-05
ENSG00000127481,-0.0726731,0.0663003,0.000250485
ENSG00000127463,0.0390785,0.0391787,0.000718058
ENSG00000053372,0.00728373,0.148219,5.00971e-05
ENSG00000162482,-0.0313633,0.0265951,0.00156136
ENSG00000053371,-0.0989828,0.109492,9.18447e-05
ENSG00000040487,0.0237326,0.0616362,0.000289847
ENSG00000077549,0.325346,0.164734,4.05548e-05
ENSG00000173436,-0.0273212,0.155826,4.53259e-05
ENSG00000158747,0.0440392,0.0472301,0.000493814
ENSG00000270136,0.112051,0.0671049,0.000244522
ENSG00000158748,0.176561,0.157933,4.41332e-05
ENSG00000162542,0.0219844,0.0183027,0.0033076
ENSG00000178828,0.00775966,0.031828,0.00108663
ENSG00000169914,-0.141074,0.0732628,0.00020516
ENSG00000188784,-0.000587489,0.0528205,0.000394813
ENSG00000188257,-0.0719526,0.0800635,0.000171761
ENSG00000127472,-0.221727,0.164733,4.05548e-05
ENSG00000117215,0.0546346,0.0787068,0.000177725
ENSG00000158786,-0.0586662,0.0611358,0.000294619
ENSG00000187980,0.0170913,0.22659,2.14702e-05
ENSG00000162543,-0.0185913,0.0160489,0.00429284
ENSG00000158816,-0.0435127,0.0407109,0.000665576
ENSG00000090432,-0.265429,0.14822,5.00971e-05
ENSG00000183114,-0.00470139,0.126131,6.91817e-05
ENSG00000158825,0.0188782,0.153816,4.65187e-05
ENSG00000158828,-0.0330146,0.0502304,0.000434175
ENSG00000244038,-0.0873874,0.0787087,0.000177725
ENSG00000117245,0.0723717,0.0465645,0.000508128
ENSG00000189410,-0.0880357,0.0691629,0.000230208
ENSG00000127483,-0.382961,0.137227,5.84466e-05
ENSG00000075151,-0.0115278,0.0732756,0.00020516
ENSG00000117298,-0.0139961,0.105445,9.90014e-05
ENSG00000142794,0.0213997,0.0195563,0.00288893
ENSG00000162551,0.0160569,0.0361049,0.000840915
ENSG00000076864,0.0261538,0.03654,0.000826602
ENSG00000090686,-0.112004,0.0800664,0.000171761
ENSG00000187942,-0.00865403,0.0716108,0.000214702
ENSG00000142798,-0.0263223,0.0368404,0.000812289
ENSG00000219073,0.0157392,0.0542802,0.00037215
ENSG00000142789,0.00249975,0.0540536,0.000364993
ENSG00000070831,-0.0477208,0.3396,9.5423e-06
ENSG00000162552,-0.225092,0.128372,6.67961e-05
ENSG00000184677,0.0471958,0.0477537,0.000483079
ENSG00000070886,-0.0375847,0.059135,0.000314896
ENSG00000173372,0.0832434,0.184856,3.22053e-05
ENSG00000159189,-0.274694,0.126132,6.91817e-05
ENSG00000173369,-0.114795,0.175453,3.57836e-05
ENSG00000133216,-0.0517375,0.0611464,0.000294619
ENSG00000215906,0.0154185,0.0349355,0.000904133
ENSG00000227868,0.0764807,0.178436,3.45908e-05
ENSG00000004487,-0.0473877,0.0891945,0.000138363
ENSG00000169641,-0.0281755,0.0693359,0.000229015
ENSG00000179546,-0.200005,0.127234,6.79889e-05
ENSG00000125944,0.104,0.184858,3.22053e-05
ENSG00000125945,-0.0431184,0.104347,0.000101387
ENSG00000204219,-0.065971,0.0684534,0.000234979
ENSG00000088280,0.101549,0.0571165,0.000337559
ENSG00000007968,0.0488245,0.0924426,0.000128821
ENSG00000117318,-0.123019,0.140113,5.6061e-05
ENSG00000011007,-0.070783,0.0704469,0.000221859
ENSG00000057757,0.244602,0.144811,5.00971e-05
ENSG00000011009,-0.0188636,0.0655304,0.000256449
ENSG00000117308,-0.00278777,0.111673,8.82663e-05
ENSG00000117305,0.0812479,0.0697055,0.00022663
ENSG00000179163,0.00886538,0.0698833,0.000225437
ENSG00000188822,0.0260848,0.0563299,0.000347101
ENSG00000189266,-0.0409978,0.104816,0.000100194
ENSG00000188529,-0.0817017,0.220375,2.2663e-05
ENSG00000142661,-0.0036823,0.0169608,0.00384913
ENSG00000142677,-0.0384575,0.103591,0.00010258
ENSG00000185436,-0.00813149,0.0836159,0.000157448
ENSG00000158055,-0.0467247,0.0460945,0.000516477
ENSG00000001460,0.057288,0.0624135,0.000282691
ENSG00000001461,0.122412,0.0712164,0.000217087
ENSG00000117602,0.0514419,0.0797812,0.000172954
ENSG00000184454,0.123901,0.140147,5.6061e-05
ENSG00000133226,-0.0374183,0.116491,8.11096e-05
ENSG00000169504,-0.0316174,0.164731,4.05548e-05
ENSG00000020633,0.00722523,0.204794,2.62413e-05
ENSG00000117614,0.011265,0.0970419,0.000116893
ENSG00000117616,0.0388724,0.0474051,0.000490236
ENSG00000187010,0.102725,0.140112,5.12899e-05
ENSG00000183726,0.186064,0.153821,4.65187e-05
ENSG00000188672,0.132512,0.0937483,0.000125243
ENSG00000204178,0.0707313,0.2264,2.14702e-05
ENSG00000157978,0.169204,0.09287,0.000127628
ENSG00000117643,0.0062086,0.100156,0.000109736
ENSG00000162430,-0.0149484,0.048661,0.000465187
ENSG00000117640,-0.00108032,0.0411368,0.000651262
ENSG00000127423,-0.00149367,0.0128611,0.00669989
ENSG00000182749,-0.0629197,0.0643402,0.000265992
ENSG00000117632,0.349183,0.232962,2.02774e-05
ENSG00000158006,0.00688538,0.0508741,0.000425825
ENSG00000158008,0.0284923,0.0209308,0.00252513
ENSG00000158014,0.01617,0.114818,8.34952e-05
ENSG00000158022,0.0520644,0.0346864,0.000917254
ENSG00000175087,0.112829,0.16009,4.29404e-05
ENSG00000197245,-0.148405,0.17252,3.69764e-05
ENSG00000282872,-0.00868117,0.113211,8.58807e-05
ENSG00000142684,0.0238266,0.0845852,0.00015387
ENSG00000142675,0.0462798,0.0318788,0.00108663
ENSG00000188782,0.0356536,0.0323608,0.00105323
ENSG00000130695,0.0647083,0.0475781,0.000486657
ENSG00000142669,0.000136771,0.0145417,0.00526377
ENSG00000158062,-0.00621117,0.0139593,0.00568125
ENSG00000169442,-0.0532232,0.204787,2.62413e-05
ENSG00000176092,-0.0105098,0.0336645,0.000973315
ENSG00000176083,-0.0190461,0.0577314,0.000330402
ENSG00000131914,-0.188831,0.232962,2.02774e-05
ENSG00000117682,0.41162,0.157918,4.41332e-05
ENSG00000198830,0.223755,0.124013,6.91817e-05
ENSG00000117676,-0.0715116,0.130719,6.2025e-05
ENSG00000117713,-0.0212021,0.0646291,0.000263606
ENSG00000060642,-0.11173,0.0497007,0.000446103
ENSG00000204160,-0.0304046,0.0604467,0.00112599
ENSG00000175793,-0.279792,0.277276,1.43135e-05
ENSG00000142751,-0.027777,0.0842589,0.000155062
ENSG00000198746,-0.0211708,0.0349901,0.000898169
ENSG00000131910,0.00723819,0.0928746,0.000127628
ENSG00000090273,0.0321123,0.162364,4.17476e-05
ENSG00000175707,0.111914,0.113208,8.58807e-05
ENSG00000253368,-0.0319102,0.181527,3.33981e-05
ENSG00000158246,-0.0722582,0.110193,9.06519e-05
ENSG00000090020,0.0954024,0.0710296,0.00021828
ENSG00000142784,-0.0309443,0.192107,2.98197e-05
ENSG00000186501,-0.194508,0.105445,9.90014e-05
ENSG00000142765,0.00365126,0.0395107,0.000703745
ENSG00000142733,-0.00659149,0.0154987,0.00460774
ENSG00000142748,0.00627613,0.019333,0.0029605
ENSG00000174950,-0.0777232,0.102991,0.000103773
ENSG00000181773,0.132746,0.155825,4.53259e-05
ENSG00000158195,0.0539896,0.188378,3.10125e-05
ENSG00000126705,0.000833594,0.0153706,0.00470316
ENSG00000000938,0.143986,0.146487,5.12899e-05
ENSG00000126709,0.146176,0.135848,5.96394e-05
ENSG00000009780,0.101036,0.123,7.03745e-05
ENSG00000117758,0.0487509,0.150013,4.89043e-05
ENSG00000117751,0.279286,0.28961,1.31207e-05
ENSG00000130775,-0.0227166,0.0591404,0.00031251
ENSG00000117748,0.00787545,0.0123718,0.0072438
ENSG00000130768,-0.0672263,0.0409114,0.000658419
ENSG00000158156,0.113618,0.0937511,0.000125243
ENSG00000158161,-0.0589692,0.0960631,0.000119279
ENSG00000169403,0.0654549,0.144811,5.24827e-05
ENSG00000126698,-0.105932,0.134509,6.08322e-05
ENSG00000130770,-0.256467,0.144809,5.24827e-05
ENSG00000130766,0.00236586,0.07548,0.000193232
ENSG00000130772,0.0877263,0.119151,7.75312e-05
