ensg,beta,standard_error,effect_allele_frequency
ENSG00000187634,-0.00936035,0.0123347,0.00749743
ENSG00000188976,-0.00265411,0.031209,0.000981046
ENSG00000187961,-0.0269448,0.0268225,0.00132933
ENSG00000187583,0.0360294,0.0428665,0.000519768
ENSG00000187642,0.00600715,0.0403139,0.000587564
ENSG00000188290,0.104142,0.0564816,0.0002991
ENSG00000187608,-0.101487,0.0860085,0.000128945
ENSG00000188157,-0.0629911,0.0532656,0.000336321
ENSG00000237330,0.091369,0.0682655,0.000204717
ENSG00000131591,-0.0690761,0.0461063,0.000449314
ENSG00000162571,-0.00425206,0.0127219,0.00593679
ENSG00000186891,0.0537451,0.037586,0.00067663
ENSG00000186827,0.0366124,0.0661521,0.00021801
ENSG00000078808,-0.0121469,0.091344,0.000111664
ENSG00000176022,0.00287135,0.064597,0.000228645
ENSG00000184163,0.0183012,0.034274,0.00081488
ENSG00000160087,0.263709,0.345765,7.97599e-06
ENSG00000162572,-0.0397024,0.028008,0.001219
ENSG00000131584,-0.0943736,0.0770086,0.000160849
ENSG00000169972,-0.0307369,0.0283044,0.00119374
ENSG00000127054,0.0102827,0.0214208,0.00208705
ENSG00000224051,-0.116102,0.0671828,0.000211364
ENSG00000169962,0.0187217,0.0420604,0.000539708
ENSG00000107404,-0.0107967,0.0624551,0.000244597
ENSG00000162576,-0.0331831,0.0633394,0.00023795
ENSG00000175756,0.0760119,0.0935467,0.000109005
ENSG00000221978,0.117324,0.106718,8.37479e-05
ENSG00000242485,-0.056264,0.0693993,0.00019807
ENSG00000235098,0.000862346,0.0426941,0.000523756
ENSG00000205116,-0.0227616,0.0551546,0.000313722
ENSG00000179403,-0.00893953,0.0256118,0.00145562
ENSG00000215915,0.0830489,0.0447852,0.000470583
ENSG00000160072,-0.00133066,0.0125398,0.00610562
ENSG00000197785,0.0262103,0.0512823,0.000362907
ENSG00000205090,-0.113096,0.11027,7.84305e-05
ENSG00000160075,-0.119319,0.104269,8.77359e-05
ENSG00000228594,0.0689338,0.130697,5.58319e-05
ENSG00000197530,-0.0296227,0.0259745,0.00142106
ENSG00000189409,0.0867491,0.105877,8.50772e-05
ENSG00000248333,-0.109168,0.0902975,0.000116981
ENSG00000189339,0.0776023,0.0703522,0.000190094
ENSG00000008128,0.0100889,0.0247792,0.00153405
ENSG00000215790,0.0483031,0.0465771,0.000440009
ENSG00000008130,0.00118013,0.052956,0.000340309
ENSG00000078369,0.198683,0.180587,2.92453e-05
ENSG00000169885,-0.0729284,0.0834659,0.000136921
ENSG00000178821,-0.154515,0.076073,0.000164837
ENSG00000142609,0.0129067,0.017736,0.0030455
ENSG00000187730,-0.00295187,0.0952999,0.000105017
ENSG00000067606,0.0341566,0.0631458,0.00023928
ENSG00000162585,0.0349202,0.0873697,0.000124957
ENSG00000157933,-0.114085,0.176605,3.05746e-05
ENSG00000116151,0.0195419,0.0561114,0.000303088
ENSG00000157916,-0.186769,0.166105,3.45626e-05
ENSG00000157911,-0.0195639,0.0471489,0.000429374
