ensg,beta,standard_error,effect_allele_frequency
ENSG00000187634,0.0289258,0.0127306,0.00748112
ENSG00000188976,0.0217464,0.0321695,0.000985488
ENSG00000187961,0.0286121,0.027628,0.0013372
ENSG00000187583,-0.0118934,0.0436456,0.000535112
ENSG00000187642,-0.129203,0.0415742,0.000589668
ENSG00000188290,0.0165631,0.0584266,0.000298316
ENSG00000187608,0.107522,0.0901142,0.000125362
ENSG00000188157,0.0285545,0.0555811,0.000329657
ENSG00000237330,0.0330357,0.0703968,0.000205455
ENSG00000131591,-0.0317093,0.0476361,0.000449215
ENSG00000162571,6.84566e-05,0.0131356,0.00593963
ENSG00000186891,0.0782056,0.0388594,0.000675564
ENSG00000186827,0.0335647,0.0686732,0.000215902
ENSG00000078808,-0.00185596,0.0950864,0.000110273
ENSG00000176022,0.0851701,0.0652576,0.000239117
ENSG00000184163,0.0221219,0.0352586,0.00082182
ENSG00000160087,0.263149,0.353907,8.12534e-06
ENSG00000162572,0.00911162,0.0292017,0.00119675
ENSG00000131584,0.11018,0.0794331,0.000161346
ENSG00000169972,-0.0139738,0.0291895,0.00119791
ENSG00000127054,-0.00309797,0.0220137,0.00210911
ENSG00000224051,0.0137743,0.0690438,0.00021358
ENSG00000169962,0.0358252,0.0438761,0.000529308
ENSG00000107404,0.0571066,0.0647864,0.0002426
ENSG00000162576,-0.0620107,0.0657542,0.000235635
ENSG00000175756,0.205723,0.0976367,0.00010679
ENSG00000221978,0.0290642,0.111928,8.12534e-05
ENSG00000242485,-0.0816702,0.0714107,0.000199651
ENSG00000235098,-0.0184775,0.0436846,0.000533951
ENSG00000205116,0.0655127,0.0577597,0.000305281
ENSG00000179403,-0.00484143,0.0262445,0.00147997
ENSG00000215915,-0.00487409,0.0463229,0.000470109
ENSG00000160072,-0.0094477,0.0129726,0.00609053
ENSG00000197785,-0.0218002,0.0521227,0.000374927
ENSG00000205090,0.0965472,0.109599,8.47357e-05
ENSG00000160075,0.0575309,0.106726,8.93788e-05
ENSG00000228594,-0.0139448,0.135159,5.57166e-05
ENSG00000197530,0.0117864,0.0267338,0.00143122
ENSG00000189409,-0.0504048,0.10603,9.05395e-05
ENSG00000248333,0.0317394,0.0922742,0.000119559
ENSG00000189339,0.0386096,0.0735845,0.000185722
ENSG00000008128,0.031489,0.0254316,0.00155774
ENSG00000215790,0.00453921,0.0485064,0.000432965
ENSG00000008130,-0.0547862,0.0544459,0.000343586
ENSG00000078369,0.246504,0.183645,3.01798e-05
ENSG00000169885,-0.00525575,0.0847869,0.000141613
ENSG00000178821,0.129273,0.0791514,0.000162507
ENSG00000142609,-0.00593628,0.0183164,0.00304352
ENSG00000187730,-0.203466,0.100397,0.000100986
ENSG00000067606,0.058944,0.066063,0.000233313
